strain	date	region	country	division	lineage	is_lab_host	host	genbank_accession	authors
Italy/PP_0003LL1.3/2022-08-12	2022-08-12	Europe	Italy	Veneto	1A		Pica pica	OP850022.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003LMZ.3/2022-10-03	2022-10-03	Europe	Italy	Campania	1A		Equus caballus	OP850023.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003N14.3/2022-10-21	2022-10-21	Europe	Italy	Sicily	1A		Equus caballus	OQ689696.1	Monaco, F.; Valleriani, F.; Polci, A.; Savini, G.; Secondini, B.
Spain/PP_0003N8Q.3/2022-01-01	2022-05-28	Europe	Spain		1A		Culex perexiguus	OQ357819.1	Ruiz-Lopez, M. J.; Aguilera-Sepulveda, P.; Cebrian-Camison, S.; Figuerola, J.; Magallanes, S.; Varona, S.; Cuesta, I.; Cano-Gomez, C.; Sanchez-Mora, P.; Camacho, J.; Sanchez-Pena, C.; Marchena, F. J.; Ameyugo, U.; Ruiz, S.; Sanchez-Seco, M. P.; Agueero, M.; Jimenez-Clavero, M. A.; Fernandez-Pinero, J.; Vazquez, A.; Cebrian, S.; Sanchez, P.; Sanchez-Seco, M. F. P.; Aguero, M.
Spain/PP_0003NAL.3/2022-01-01	2022-05-28	Europe	Spain		1A		Culex perexiguus	OQ357821.1	Ruiz-Lopez, M. J.; Aguilera-Sepulveda, P.; Cebrian-Camison, S.; Figuerola, J.; Magallanes, S.; Varona, S.; Cuesta, I.; Cano-Gomez, C.; Sanchez-Mora, P.; Camacho, J.; Sanchez-Pena, C.; Marchena, F. J.; Ameyugo, U.; Ruiz, S.; Sanchez-Seco, M. P.; Agueero, M.; Jimenez-Clavero, M. A.; Fernandez-Pinero, J.; Vazquez, A.; Cebrian, S.; Sanchez, P.; Sanchez-Seco, M. F. P.; Aguero, M.
Spain/PP_0003NBJ.3/2022-01-01	2022-05-28	Europe	Spain		1A		Culex perexiguus	OQ357822.1	Ruiz-Lopez, M. J.; Aguilera-Sepulveda, P.; Cebrian-Camison, S.; Figuerola, J.; Magallanes, S.; Varona, S.; Cuesta, I.; Cano-Gomez, C.; Sanchez-Mora, P.; Camacho, J.; Sanchez-Pena, C.; Marchena, F. J.; Ameyugo, U.; Ruiz, S.; Sanchez-Seco, M. P.; Agueero, M.; Jimenez-Clavero, M. A.; Fernandez-Pinero, J.; Vazquez, A.; Cebrian, S.; Sanchez, P.; Sanchez-Seco, M. F. P.; Aguero, M.
Italy/PP_0003NDE.3/2022-11-01	2022-11-28	Europe	Italy	Campania region	1A		Equus caballus	OQ552605.1	Viscardi, M.; Cozzolino, L.; Cardillo, L.; De Martinis, C.; Fusco, G.
Italy/PP_0003NG8.3/2022-10-12	2022-10-12	Europe	Italy	Sicily	1A		Equus caballus	OQ689697.1	Monaco, F.; Valleriani, F.; Polci, A.; Savini, G.; Secondini, B.
USA/PP_0004AN5.3/2020-06-09	2020-06-09	North America	USA	Miami Florida	1A		Culex quinquefasciatus	OR605719.1	Hughes, H. R.; Burkhalter, K.; Stanek, D.
Spain/PP_0004CM5.3/2021-08-30	2021-08-30	Europe	Spain		1A		Anopheles atroparvus	OR472391.1	Varga, Z.; Mari, R. B.; Iranzo, J. R.; Kurucz, K.; Toth, E. G.; Zana, B.; Zeghbib, S.; Gorfol, T.; Jakab, F.; Kemenesi, G.; Urban, P.
USA/PP_0004CP1.3/2020-06-09	2020-06-09	North America	USA	Miami Florida	1A		Culex quinquefasciatus	OR605720.1	Hughes, H. R.; Burkhalter, K.; Stanek, D.
Italy/PP_0004GK5.3/2023-08-11	2023-08-11	Europe	Italy	Veneto	1A		Culex pipiens	PP104378.1	Savini, G.; Monaco, F.; Teodori, L.; Amatori, G.; Marcacci, M.; Valleriani, F.
Italy/PP_0004GM1.3/2023-08-24	2023-08-24	Europe	Italy	Veneto	1A		Culex pipiens	PP104379.1	Savini, G.; Monaco, F.; Teodori, L.; Amatori, G.; Marcacci, M.; Valleriani, F.
Italy/PP_0004GNZ.3/2023-07-15	2023-07-15	Europe	Italy	EmiliaRomagna	1A		Culex pipiens	PP104380.1	Savini, G.; Monaco, F.; Teodori, L.; Amatori, G.; Marcacci, M.; Valleriani, F.
Italy/PP_0004GPX.3/2023-09-08	2023-09-08	Europe	Italy	Veneto	1A		Culex pipiens	PP104381.1	Savini, G.; Monaco, F.; Teodori, L.; Amatori, G.; Marcacci, M.; Valleriani, F.
Italy/PP_0004GQV.3/2023-08-09	2023-08-09	Europe	Italy	Veneto	1A		Corvidae	PP104382.1	Savini, G.; Monaco, F.; Teodori, L.; Amatori, G.; Marcacci, M.; Valleriani, F.
Senegal/PP_0004HAP.4/2020-10-27	2020-10-27	Africa	Senegal	Bounkiling	1A		Homo sapiens	PP445046.1	Orf, G. S.; Ahouidi, A. D.; Mata, M.; Diedhiou, C.; Mboup, A.; Padane, A.; Manga, N. M.; Dela-Del Lawson, A. T.; Averhoff, F.; Berg, M. G.; Cloherty, G. A.; Mboup, S.; Diedhiou, C. K.; Lawson, A. T.
USA/PP_000RH3U.2/2023-08-20	2023-08-20	North America	USA	Nebraska	1A		Homo sapiens	PP445211.1	Davis, E. H.; Velez, J.; Hughes, H. R.
USA/PP_000S8YA.1/2018-06-18	2018-06-18	North America	USA	Connecticut	1A	False	Culex restuans	OZ201362.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S8Z8.1/2018-06-19	2018-06-19	North America	USA	Connecticut	1A	False	Culex restuans	OZ201357.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S906.1/2018-07-09	2018-07-09	North America	USA	Connecticut	1A	False	Culex restuans	OZ201871.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S914.1/2018-07-09	2018-07-09	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201350.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S922.1/2018-07-10	2018-07-10	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201859.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S930.1/2018-07-10	2018-07-10	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201349.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S94Y.1/2018-07-11	2018-07-11	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201848.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S95W.1/2018-07-11	2018-07-11	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201860.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S96U.1/2018-07-11	2018-07-11	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201342.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S97S.1/2018-07-12	2018-07-12	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201862.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S98Q.1/2018-07-12	2018-07-12	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201866.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S99N.1/2018-07-12	2018-07-12	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201403.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9AL.1/2018-07-12	2018-07-12	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201391.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9BJ.1/2018-07-12	2018-07-12	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201312.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9CG.1/2018-07-12	2018-07-12	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201310.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9DE.1/2018-07-12	2018-07-12	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201306.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9EC.1/2018-07-18	2018-07-18	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201404.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9FA.1/2018-07-18	2018-07-18	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201324.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9G8.1/2018-07-18	2018-07-18	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201320.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9H5.1/2018-07-18	2018-07-18	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201402.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9J3.1/2018-07-18	2018-07-18	North America	USA	Connecticut	1A	False	Culex restuans	OZ201308.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9K1.1/2018-07-18	2018-07-18	North America	USA	Connecticut	1A	False	Culex restuans	OZ201316.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9LZ.1/2018-07-18	2018-07-18	North America	USA	Connecticut	1A	False	Culex restuans	OZ201314.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9MX.1/2018-07-18	2018-07-18	North America	USA	Connecticut	1A	False	Culex restuans	OZ201676.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9NV.1/2018-07-18	2018-07-18	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201322.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9PT.1/2018-07-18	2018-07-18	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201673.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9QR.1/2018-07-18	2018-07-18	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201648.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9RP.1/2018-07-19	2018-07-19	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201675.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9SM.1/2018-07-19	2018-07-19	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201434.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9TK.1/2018-07-19	2018-07-19	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201417.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9UH.1/2018-07-19	2018-07-19	North America	USA	Connecticut	1A	False	Culex restuans	OZ201679.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9VF.1/2018-07-23	2018-07-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201777.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9WD.1/2018-07-23	2018-07-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201667.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9XB.1/2018-07-23	2018-07-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201798.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9Y9.1/2018-07-23	2018-07-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201672.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000S9Z7.1/2018-07-23	2018-07-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201790.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SA05.1/2018-07-23	2018-07-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201680.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SA13.1/2018-07-23	2018-07-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201784.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SA21.1/2018-07-23	2018-07-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201664.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SA3Z.1/2018-07-23	2018-07-23	North America	USA	Connecticut	1A	False	Culex restuans	OZ201775.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SA4X.1/2018-07-23	2018-07-23	North America	USA	Connecticut	1A	False	Culex restuans	OZ201674.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SA5V.1/2018-07-23	2018-07-23	North America	USA	Connecticut	1A	False	Culex restuans	OZ201780.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SA6T.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201678.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SA7R.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201670.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SA8P.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201804.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SA9M.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201685.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAAK.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201809.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SABH.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201687.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SACF.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201806.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SADD.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201668.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAEB.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201769.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAF9.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201689.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAG7.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex restuans	OZ201770.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAH4.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex restuans	OZ201884.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAJ2.1/2018-07-24	2018-07-24	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201772.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAK0.1/2018-07-25	2018-07-25	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201883.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SALY.1/2018-07-25	2018-07-25	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201516.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAMW.1/2018-07-25	2018-07-25	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201530.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SANU.1/2018-07-25	2018-07-25	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201886.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAPS.1/2018-07-25	2018-07-25	North America	USA	Connecticut	1A	False	Ochlerotatus canadensis	OZ201518.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAQQ.1/2018-07-25	2018-07-25	North America	USA	Connecticut	1A	False	Ochlerotatus triseriatus	OZ201882.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SARN.1/2018-07-26	2018-07-26	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201502.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SASL.1/2018-07-26	2018-07-26	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201523.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SATJ.1/2018-07-26	2018-07-26	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201504.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAUG.1/2018-07-26	2018-07-26	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201514.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAVE.1/2018-07-26	2018-07-26	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201475.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAWC.1/2018-07-26	2018-07-26	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201510.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAXA.1/2018-07-26	2018-07-26	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201498.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAY8.1/2018-07-26	2018-07-26	North America	USA	Connecticut	1A	False	Culex restuans	OZ201521.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SAZ6.1/2018-07-26	2018-07-26	North America	USA	Connecticut	1A	False	Culex restuans	OZ201500.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SB04.1/2018-07-30	2018-07-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201519.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SB12.1/2018-07-30	2018-07-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201508.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SB20.1/2018-07-30	2018-07-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201490.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SB3Y.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201427.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SB4W.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201483.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SB5U.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201436.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SB6S.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201453.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
